id;Data;Temp. Retal;Media T Retal;Termograma ;Media Termograma;Foto;Temp. Ambiente;Monta;Sinal de Cio;Lote;Coord_X;Coord_Y
1612;04.03.2025;38,8;38,94;38,6;38,09;1215.0;32.0;;;Rosa;44.0;35.0
1612;05.03.2025;39;38,94285714;37,9;38,08095238;1261.0;30.0;;;Rosa;36.0;35.0
1612;06.03.2025;39,1;38,94054202;38,7;37,67190503;1305.0;32.0;;;Rosa;41.0;38.0
2246;13.02.2025;37,7;38,6;38,3;37,511;365.0;29.0;true;;Rosa;40.0;37.0
2246;14.02.2025;38,9;38,994;34,7;37,783;474.0;28.0;;;Rosa;40.0;24.0
2246;15.02.2025;39,1;39;37,8;37,415;525.0;28.0;;;Rosa;46.0;32.0
2246;16.02.2025;38,7;38,685;38;37,52;565.0;28.0;;;Rosa;36.0;35.0
2246;17.02.2025;39,1;39,075;37,2;38,075;608.0;33.0;true;;Rosa;47.0;47.0
2246;18.02.2025;39;39,005;34,8;36,3;632.0;30.0;;;Rosa;36.0;31.0
2246;19.02.2025;38,4;38,895;35,3;37,505;682.0;30.0;;;Rosa;46.0;34.0
2246;20.02.2025;39,4;39,31;38,5;38,805;703.0;31.0;;;Rosa;44.0;39.0
2246;21.02.2026;38,6;38,9;38,2;37,22;760.0;33.0;;;Rosa;37.0;36.0
2246;22.02.2027;38,7;38,61;37,9;37,2;798.0;31.0;;;Rosa;47.0;26.0
2246;23.02.2028;38,7;38,94;37,3;37,91;859.0;33.0;true;;Rosa;42.0;33.0
2246;24.02.2029;39,4;38,905;37,1;37,345;903.0;31.0;;;Rosa;38.0;40.0
2246;25.02.2030;39;38,905;36,8;36,275;945.0;31.0;;;Rosa;36.0;35.0
2246;26.02.2031;39,3;39,315;37,3;37,68;967.0;31.0;;;Rosa;32.0;32.0
2246;27.02.2032;39,4;38,89333333;38,4;37,17333333;1005.0;31.0;;;Rosa;41.0;43.0
2246;28.02.2033;39,2;38,9125;38,7;37,26875;1057.0;32.0;;;Rosa;46.0;39.0
2246;01.02.2025;38,9;38,91176471;37,7;37,29411765;1106.0;33.0;;;Rosa;33.0;44.0
2246;02.03.2025;38,2;38,87222222;37,6;37,31111111;1125.0;27.0;;;Rosa;39.0;44.0
2246;03.03.2025;39,2;38,88947368;37,7;37,33157895;1187.0;33.0;;;Rosa;46.0;41.0
2246;04.03.2025;39;38,895;37,4;37,335;1230.0;32.0;;;Rosa;44.0;41.0
2246;05.03.2025;39;38,9;37,3;37,33333333;1273.0;30.0;;;Rosa;34.0;36.0
2246;06.03.2025;39,5;38,92444257;37,7;37,40910592;1315.0;32.0;;;Rosa;34.0;34.0
2353;13.02.2025;38,6;38,6;37,6;37,511;417.0;29.0;;;Rosa;43.0;39.0
2353;14.02.2025;39,4;38,994;38,2;37,783;454.0;28.0;;;Rosa;33.0;40.0
2353;15.02.2025;39;38,1;38,1;37,415;488.0;28.0;true;;Rosa;39.0;37.0
2353;16.02.2025;38,6;38,685;37,4;37,52;542.0;28.0;;;Rosa;36.0;29.0
2353;17.02.2025;39;39,075;37,2;38,075;604.0;33.0;;?;Rosa;38.0;36.0
2353;18.02.2025;39,1;39,005;37,4;36,3;618.0;30.0;;;Rosa;40.0;48.0
2353;19.02.2025;38,9;38,895;35,7;37,505;681.0;30.0;;;Rosa;46.0;30.0
2353;20.02.2025;38,1;39,31;38,7;38,805;712.0;31.0;;;Rosa;37.0;40.0
2353;21.02.2026;38,9;38,9;37,7;37,22;771.0;33.0;;;Rosa;47.0;35.0
2353;22.02.2027;38,9;38,61;37,5;37,2;795.0;31.0;;;Rosa;37.0;30.0
2353;23.02.2028;38,8;38,94;37,8;37,91;850.0;33.0;;;Rosa;41.0;38.0
2353;24.02.2029;38,2;38,905;37,5;37,345;891.0;31.0;;;Rosa;40.0;41.0
2353;25.02.2030;39,3;38,905;36,9;36,275;932.0;31.0;;;Rosa;45.0;28.0
2353;26.02.2031;39,2;39,315;37,1;37,68;948.0;31.0;;;Rosa;41.0;37.0
2353;27.02.2032;39,4;38,89333333;38;37,52;1008.0;31.0;;;Rosa;44.0;36.0
2353;28.02.2033;39,2;38,9125;38,7;37,59375;1058.0;32.0;true;;Rosa;45.0;38.0
2353;01.03.2025;38,9;38,91176471;38,2;37,62941176;1089.0;33.0;;;Rosa;43.0;41.0
2353;02.03.2025;38,1;38,86666667;36,9;37,58823529;1113.0;27.0;;;Rosa;52.0;53.0
2353;03.03.2025;39;38,87368421;38,3;37,62631579;1181.0;33.0;;;Rosa;47.0;40.0
2353;04.03.2025;39;38,88;37,7;37,63;1213.0;32.0;;;Rosa;40.0;35.0
2353;05.03.2025;38,9;38,88095238;37,9;37,64285714;1271.0;30.0;;;Rosa;42.0;42.0
2353;06.03.2025;38,9;38,87894768;38;37,51307476;1298.0;32.0;;;Rosa;41.0;38.0
2360;13.02.2025;38,2;38,6;38,1;37,511;382.0;29.0;true;;Rosa;46.0;36.0
2360;14.02.2025;39,2;38,994;37;37,783;475.0;28.0;;;Rosa;38.0;32.0
2360;15.02.2025;39,1;39;37,4;37,415;519.0;28.0;;;Rosa;41.0;33.0
2360;16.02.2025;38,8;38,685;37,8;37,52;558.0;28.0;true;;Rosa;46.0;37.0
2360;17.02.2025;39,1;39,075;40,2;38,075;602.0;33.0;;;Rosa;39.0;36.0
2360;18.02.2025;38,9;39,005;36,2;36,3;625.0;30.0;;;Rosa;45.0;40.0
2360;19.02.2025;38,8;38,895;36,9;37,505;688.0;30.0;;;Rosa;44.0;43.0
2360;20.02.2025;39,2;39,31;39,5;38,805;720.0;31.0;;;Rosa;39.0;39.0
2360;21.02.2026;38,9;38,9;36,6;37,22;769.0;33.0;;;Rosa;58.0;30.0
2360;22.02.2027;38,9;38,61;37,2;37,2;792.0;31.0;;;Rosa;41.0;34.0
2360;23.02.2028;38,6;38,94;38,7;37,91;854.0;33.0;;;Rosa;37.0;40.0
2360;24.02.2029;38,9;38,905;37,3;37,345;896.0;31.0;;;Rosa;40.0;33.0
2360;25.02.2030;38,1;38,905;35,5;36,275;928.0;31.0;;true;Rosa;42.0;29.0
2360;26.02.2031;39;39,315;38;37,68;961.0;31.0;;;Rosa;41.0;29.0
2360;27.02.2032;39,2;38,86;37,8;37,61333333;1006.0;31.0;;;Rosa;40.0;36.0
2360;28.02.2033;39,2;38,88125;38,4;37,6625;1056.0;32.0;;;Rosa;35.0;48.0
2360;01.03.2025;39,1;38,2;37,2;37,63529412;1099.0;33.0;;;Rosa;43.0;38.0
2360;02.03.2025;37,9;38,87647059;36,4;37,56666667;1109.0;27.0;;;Rosa;41.0;33.0
2360;03.03.2025;39,2;38,85789474;37,2;37,54736842;1167.0;33.0;;;Rosa;48.0;34.0
2360;04.03.2025;39,2;38,875;35,7;37,455;1210.0;32.0;;;Rosa;37.0;38.0
2360;05.03.2025;39,2;38,89047619;36,7;37,41904762;1252.0;30.0;;true;Rosa;37.0;30.0
2360;06.03.2025;38,8;38,88476626;37,8;37,49729572;1312.0;32.0;;true;Rosa;44.0;42.0
2363;13.02.2025;38,9;38,6;37,7;37,511;388.0;29.0;;;Rosa;40.0;40.0
2363;14.02.2025;39;38,994;37,2;37,783;449.0;28.0;;;Rosa;14.0;43.0
2363;15.02.2025;38,2;39;36,4;37,415;489.0;28.0;;;Rosa;40.0;25.0
2363;16.02.2025;38,4;38,685;37,6;37,52;541.0;28.0;;;Rosa;42.0;27.0
2363;17.02.2025;38,7;39,075;37,4;38,075;591.0;33.0;;;Rosa;41.0;31.0
2363;18.02.2025;38,6;39,005;35,2;36,3;628.0;30.0;;;Rosa;42.0;28.0
2363;19.02.2025;38,4;38,895;35,6;37,505;687.0;30.0;;;Rosa;34.0;34.0
2363;20.02.2025;39,2;39,31;38,1;38,805;713.0;31.0;;;Rosa;38.0;31.0
2363;21.02.2026;38,9;38,9;36,1;37,22;761.0;33.0;;;Rosa;40.0;28.0
2363;22.02.2027;39,1;38,61;37,6;37,2;786.0;31.0;;;Rosa;44.0;41.0
2363;23.02.2028;39,2;38,94;36,9;37,91;853.0;33.0;;;Rosa;34.0;27.0
2363;24.02.2029;38,7;38,905;36,8;37,345;894.0;31.0;;;Rosa;44.0;29.0
2363;25.02.2030;38,9;38,905;35,5;36,275;936.0;31.0;;;Rosa;41.0;25.0
2363;26.02.2031;39,4;39,315;37,7;37,68;958.0;31.0;;;Rosa;39.0;32.0
2363;27.02.2032;39,2;38,85333333;37,5;36,88666667;1022.0;31.0;;;Rosa;38.0;36.0
2363;28.02.2033;39,2;38,875;37,7;36,9375;1048.0;32.0;;;Rosa;39.0;39.0
2363;01.03.2025;39,1;38,88823529;37,1;36,94705882;1090.0;33.0;;;Rosa;36.0;34.0
2363;02.03.2025;38;38,83888889;36,4;36,91666667;1116.0;27.0;;;Rosa;34.0;38.0
2363;03.03.2025;39,2;38,85789474;38,5;37;1179.0;33.0;;;Rosa;41.0;38.0
2363;04.03.2025;38,9;38,86;37,8;37,04;1225.0;32.0;;;Rosa;34.0;44.0
2363;05.03.2025;39;38,86666667;37,6;37,06666667;1262.0;30.0;;;Rosa;41.0;37.0
2363;06.03.2025;39,2;38,91328662;38,7;37,30183613;1300.0;32.0;;;Rosa;37.0;41.0
2367;13.02.2025;38,8;38,6;39,1;37,511;381.0;29.0;;;Rosa;39.0;35.0
2367;14.02.2025;38,8;38,994;38,2;37,783;470.0;28.0;;;Rosa;38.0;30.0
2367;15.02.2025;39,2;39;36,4;37,415;504.0;28.0;;;Rosa;38.0;30.0
2367;16.02.2025;38,8;38,685;38,5;37,52;555.0;28.0;;;Rosa;38.0;32.0
2367;17.02.2025;39;39,075;38,7;38,075;593.0;33.0;;;Rosa;39.0;40.0
2367;18.02.2025;38,9;39,005;38,2;36,3;636.0;30.0;;;Rosa;38.0;38.0
2367;19.02.2025;38,8;38,895;37,5;37,505;694.0;30.0;;;Rosa;48.0;40.0
2367;20.02.2025;39,3;39,31;38,9;38,805;716.0;31.0;;;Rosa;37.0;43.0
2367;21.02.2025;38,8;38,9;37,3;37,22;772.0;33.0;;;Rosa;39.0;33.0
2367;22.02.2025;40,2;38,61;38,9;37,2;794.0;31.0;;;Rosa;43.0;33.0
2367;23.02.2025;39,5;38,94;38,1;37,91;851.0;33.0;;;Rosa;43.0;32.0
2367;24.02.2025;39,2;38,905;36,9;37,345;892.0;31.0;;;Rosa;40.0;31.0
2367;25.02.2025;38,8;38,905;35,8;36,275;941.0;31.0;;;Rosa;41.0;29.0
2367;26.02.2025;39,2;39,315;37,6;37,68;954.0;31.0;;;Rosa;34.0;26.0
2367;27.02.2025;39,2;39,1;37,5;37,84;1018.0;31.0;;;Rosa;42.0;34.0
2367;28.02.2025;39,3;39,1125;36,9;37,78125;1050.0;32.0;;;Rosa;43.0;28.0
2367;01.03.2025;38,9;39,1;37,7;37,77647059;1082.0;33.0;;;Rosa;;
2367;02.03.2025;37,9;39,03333333;37;37,73333333;1117.0;27.0;;;Rosa;47.0;45.0
2367;03.03.2025;39,1;39,03684211;38,1;37,75263158;1171.0;33.0;;true;Rosa;43.0;26.0
